Date	Price	Open	High	Low	Change %
4-Aug-16	"13,137.50"	"13,132.50"	"13,149.50"	"13,132.50"	0.1
3-Aug-16	"13,125.00"	"13,115.00"	"13,142.00"	"13,090.00"	0.21
2-Aug-16	"13,097.50"	"13,062.50"	"13,102.50"	"13,062.50"	0.2
1-Aug-16	"13,071.00"	"13,081.00"	"13,081.00"	"13,066.00"	-0.21
29-Jul-16	"13,098.50"	"13,091.50"	"13,112.50"	"13,081.50"	-0.02
28-Jul-16	"13,101.00"	"13,101.00"	"13,118.00"	"13,093.00"	-0.3
27-Jul-16	"13,140.00"	"13,145.00"	"13,150.00"	"13,106.00"	-0.21
26-Jul-16	"13,167.50"	"13,141.50"	"13,167.50"	"13,119.50"	0.21
25-Jul-16	"13,140.00"	"13,120.00"	"13,145.00"	"13,120.00"	0.24
22-Jul-16	"13,108.50"	"13,081.50"	"13,109.50"	"13,081.50"	0.06
21-Jul-16	"13,100.00"	"13,125.00"	"13,130.00"	"13,090.00"	-0.1
20-Jul-16	"13,112.50"	"13,092.50"	"13,122.50"	"13,082.50"	0.18
19-Jul-16	"13,089.00"	"13,081.00"	"13,091.00"	"13,081.00"	0.01
18-Jul-16	"13,087.50"	"13,102.50"	"13,117.50"	"13,087.50"	-0.03
15-Jul-16	"13,091.50"	"13,061.50"	"13,094.50"	"13,061.50"	0.07
14-Jul-16	"13,082.50"	"13,072.50"	"13,092.50"	"13,071.50"	-0.1
13-Jul-16	"13,095.00"	"13,095.00"	"13,120.00"	"13,084.00"	-0.19
12-Jul-16	"13,120.00"	"13,125.00"	"13,165.00"	"13,105.00"	0.23
11-Jul-16	"13,090.00"	"13,115.00"	"13,125.00"	"13,090.00"	-0.29
8-Jul-16	"13,127.50"	"13,127.50"	"13,127.50"	"13,127.50"	0
7-Jul-16	"13,127.50"	"13,127.50"	"13,127.50"	"13,127.50"	0
6-Jul-16	"13,127.50"	"13,127.50"	"13,127.50"	"13,127.50"	0
5-Jul-16	"13,127.50"	"13,127.50"	"13,127.50"	"13,127.50"	0
4-Jul-16	"13,127.50"	"13,127.50"	"13,127.50"	"13,127.50"	-0.1
1-Jul-16	"13,140.00"	"13,160.00"	"13,185.00"	"13,125.00"	-0.55
30-Jun-16	"13,212.50"	"13,172.50"	"13,217.50"	"13,157.50"	0.39
29-Jun-16	"13,161.50"	"13,161.50"	"13,201.50"	"13,131.50"	-0.12
28-Jun-16	"13,177.50"	"13,307.50"	"13,307.50"	"13,157.50"	-1.22
27-Jun-16	"13,340.00"	"13,385.00"	"13,520.00"	"13,293.00"	-0.3
24-Jun-16	"13,380.00"	"13,244.00"	"13,435.00"	"13,244.00"	0.92
23-Jun-16	"13,257.50"	"13,267.50"	"13,270.50"	"13,242.50"	-0.2
22-Jun-16	"13,284.00"	"13,274.00"	"13,309.00"	"13,274.00"	0.16
21-Jun-16	"13,262.50"	"13,252.50"	"13,302.50"	"13,252.50"	-0.02
20-Jun-16	"13,265.00"	"13,285.00"	"13,285.00"	"13,245.00"	-0.54
17-Jun-16	"13,337.50"	"13,352.50"	"13,369.50"	"13,332.50"	-0.22
16-Jun-16	"13,367.50"	"13,322.50"	"13,367.50"	"13,302.50"	-0.04
15-Jun-16	"13,372.50"	"13,382.50"	"13,417.50"	"13,357.50"	0.06
14-Jun-16	"13,365.00"	"13,270.00"	"13,390.00"	"13,265.00"	0.65
13-Jun-16	"13,278.50"	"13,326.50"	"13,341.50"	"13,266.50"	-0.14
10-Jun-16	"13,297.50"	"13,282.50"	"13,317.50"	"13,282.50"	0.25
9-Jun-16	"13,265.00"	"13,215.00"	"13,270.00"	"13,205.00"	0
8-Jun-16	"13,265.00"	"13,245.00"	"13,275.00"	"13,205.00"	-0.04
7-Jun-16	"13,270.00"	"13,375.00"	"13,385.00"	"13,260.00"	-0.8
6-Jun-16	"13,377.50"	"13,502.50"	"13,502.50"	"13,367.50"	-1.57
3-Jun-16	"13,591.50"	"13,621.50"	"13,641.50"	"13,586.50"	-0.41
2-Jun-16	"13,647.50"	"13,671.50"	"13,700.50"	"13,642.50"	-0.09
1-Jun-16	"13,660.00"	"13,655.00"	"13,695.00"	"13,645.00"	0
31-May-16	"13,660.00"	"13,625.00"	"13,660.00"	"13,595.00"	0.11
30-May-16	"13,645.00"	"13,610.00"	"13,655.00"	"13,610.00"	0.46
27-May-16	"13,583.00"	"13,557.00"	"13,587.00"	"13,557.00"	-0.15
26-May-16	"13,603.50"	"13,616.50"	"13,636.50"	"13,591.50"	-0.38
25-May-16	"13,655.00"	"13,655.00"	"13,685.00"	"13,615.00"	-0.26
24-May-16	"13,690.00"	"13,565.00"	"13,695.00"	"13,565.00"	0.79
23-May-16	"13,582.50"	"13,587.50"	"13,617.50"	"13,557.50"	-0.18
20-May-16	"13,607.50"	"13,542.50"	"13,652.50"	"13,532.50"	0.39
19-May-16	"13,555.00"	"13,445.00"	"13,560.00"	"13,430.00"	1.24
18-May-16	"13,389.00"	"13,315.00"	"13,389.00"	"13,310.00"	0.68
17-May-16	"13,298.50"	"13,293.50"	"13,308.50"	"13,267.50"	-0.03
16-May-16	"13,302.50"	"13,317.50"	"13,332.50"	"13,302.50"	-0.11
13-May-16	"13,317.50"	"13,302.50"	"13,324.50"	"13,297.50"	0.15
12-May-16	"13,297.50"	"13,302.50"	"13,312.50"	"13,282.50"	-0.06
11-May-16	"13,305.00"	"13,265.00"	"13,305.00"	"13,255.00"	0.13
10-May-16	"13,287.50"	"13,322.50"	"13,337.50"	"13,262.50"	-0.02
9-May-16	"13,290.00"	"13,305.00"	"13,305.00"	"13,275.00"	0.37
6-May-16	"13,241.50"	"13,241.50"	"13,241.50"	"13,241.50"	0
5-May-16	"13,241.50"	"13,241.50"	"13,241.50"	"13,241.50"	0
4-May-16	"13,241.50"	"13,211.50"	"13,251.50"	"13,141.50"	0.36
3-May-16	"13,194.50"	"13,144.50"	"13,196.50"	"13,134.50"	0.11
2-May-16	"13,180.00"	"13,175.00"	"13,195.00"	"13,175.00"	-0.04
29-Apr-16	"13,185.00"	"13,174.00"	"13,230.00"	"13,118.00"	-0.01
28-Apr-16	"13,186.50"	"13,161.50"	"13,211.50"	"13,151.50"	-0.06
27-Apr-16	"13,194.50"	"13,182.50"	"13,207.50"	"13,152.50"	-0.04
26-Apr-16	"13,200.00"	"13,205.00"	"13,230.00"	"13,190.00"	0.02
25-Apr-16	"13,197.50"	"13,202.50"	"13,242.50"	"13,192.50"	0
22-Apr-16	"13,197.50"	"13,152.50"	"13,207.50"	"13,152.50"	0.3
21-Apr-16	"13,157.50"	"13,152.50"	"13,187.50"	"13,147.50"	0.13
20-Apr-16	"13,141.00"	"13,105.00"	"13,151.00"	"13,105.00"	-0.05
19-Apr-16	"13,147.50"	"13,132.50"	"13,157.50"	"13,132.50"	-0.21
18-Apr-16	"13,175.00"	"13,185.00"	"13,220.00"	"13,175.00"	0
15-Apr-16	"13,175.00"	"13,175.00"	"13,180.00"	"13,145.00"	-0.02
14-Apr-16	"13,177.50"	"13,217.50"	"13,252.50"	"13,177.50"	0.13
13-Apr-16	"13,160.00"	"13,085.00"	"13,190.00"	"13,085.00"	0.35
12-Apr-16	"13,113.50"	"13,116.50"	"13,126.50"	"13,106.50"	-0.11
11-Apr-16	"13,127.50"	"13,102.50"	"13,139.50"	"13,102.50"	-0.11
8-Apr-16	"13,142.50"	"13,162.50"	"13,187.50"	"13,137.50"	-0.13
7-Apr-16	"13,160.00"	"13,175.00"	"13,212.00"	"13,155.00"	-0.47
6-Apr-16	"13,222.50"	"13,212.50"	"13,232.50"	"13,172.50"	0.03
5-Apr-16	"13,219.00"	"13,194.00"	"13,234.00"	"13,179.00"	0.4
4-Apr-16	"13,166.50"	"13,121.50"	"13,176.50"	"13,121.50"	0.05
1-Apr-16	"13,160.00"	"13,175.00"	"13,210.00"	"13,155.00"	-0.75
31-Mar-16	"13,260.00"	"13,255.00"	"13,296.00"	"13,240.00"	-0.06
30-Mar-16	"13,267.50"	"13,302.50"	"13,377.50"	"13,255.50"	-0.97
29-Mar-16	"13,397.50"	"13,327.50"	"13,432.50"	"13,317.50"	0.22
28-Mar-16	"13,367.50"	"13,277.50"	"13,367.50"	"13,277.50"	0.87
25-Mar-16	"13,252.50"	"13,252.50"	"13,252.50"	"13,252.50"	0
24-Mar-16	"13,252.50"	"13,202.50"	"13,262.50"	"13,152.50"	0.57
23-Mar-16	"13,177.50"	"13,152.50"	"13,202.50"	"13,141.50"	-0.02
22-Mar-16	"13,180.00"	"13,155.00"	"13,190.00"	"13,135.00"	0.34
21-Mar-16	"13,135.00"	"13,125.00"	"13,180.00"	"13,125.00"	0.13
18-Mar-16	"13,117.50"	"13,027.50"	"13,127.50"	"13,002.50"	0.17
17-Mar-16	"13,095.00"	"13,205.00"	"13,205.00"	"13,080.00"	-1.3
16-Mar-16	"13,267.50"	"13,162.50"	"13,282.50"	"13,132.50"	0.68
15-Mar-16	"13,177.50"	"13,057.50"	"13,177.50"	"13,056.50"	0.9
14-Mar-16	"13,060.00"	"12,975.00"	"13,060.00"	"12,975.00"	-0.08
11-Mar-16	"13,070.00"	"13,105.00"	"13,105.00"	"13,065.00"	-0.02
10-Mar-16	"13,072.50"	"13,127.50"	"13,162.50"	"13,062.50"	-0.54
9-Mar-16	"13,143.00"	"13,143.00"	"13,143.00"	"13,143.00"	0
8-Mar-16	"13,143.00"	"13,095.00"	"13,160.00"	"13,085.00"	0.4
7-Mar-16	"13,090.00"	"13,005.00"	"13,090.00"	"12,955.00"	-0.34
4-Mar-16	"13,135.00"	"13,155.00"	"13,175.00"	"13,110.00"	-0.76
3-Mar-16	"13,235.00"	"13,290.00"	"13,290.00"	"13,235.00"	-0.41
